accuracy: 93.98148148148148 error: 0.023078600042224014 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.5), 'alpha': np.float64(0.5), 'lambda': np.float64(0.001)}
accuracy: 93.28703703703704 error: 0.026558453155847168 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.5), 'alpha': np.float64(0.5), 'lambda': np.float64(0.002)}
accuracy: 97.68518518518519 error: 0.018459178882888918 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.5), 'alpha': np.float64(0.5), 'lambda': np.float64(0.003)}
accuracy: 93.05555555555556 error: 0.02399948580574799 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.5), 'alpha': np.float64(0.5), 'lambda': np.float64(0.004)}
accuracy: 93.51851851851852 error: 0.025270238150076653 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.5), 'alpha': np.float64(0.5), 'lambda': np.float64(0.005)}
accuracy: 93.05555555555556 error: 0.026254655769689154 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.5), 'alpha': np.float64(0.5), 'lambda': np.float64(0.006)}
accuracy: 92.82407407407408 error: 0.025044244196283465 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.5), 'alpha': np.float64(0.5), 'lambda': np.float64(0.007)}
accuracy: 96.99074074074075 error: 0.018492183818513794 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.5), 'alpha': np.float64(0.5), 'lambda': np.float64(0.008)}
accuracy: 93.28703703703704 error: 0.026129562207340654 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.5), 'alpha': np.float64(0.55), 'lambda': np.float64(0.001)}
accuracy: 93.05555555555556 error: 0.025310482645841736 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.5), 'alpha': np.float64(0.55), 'lambda': np.float64(0.002)}
accuracy: 92.36111111111111 error: 0.024405232239223803 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.5), 'alpha': np.float64(0.55), 'lambda': np.float64(0.003)}
accuracy: 92.36111111111111 error: 0.024853123624703082 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.5), 'alpha': np.float64(0.55), 'lambda': np.float64(0.004)}
accuracy: 93.51851851851852 error: 0.025337437047105064 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.5), 'alpha': np.float64(0.55), 'lambda': np.float64(0.005)}
accuracy: 92.82407407407408 error: 0.025302246855557934 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.5), 'alpha': np.float64(0.55), 'lambda': np.float64(0.006)}
accuracy: 93.05555555555556 error: 0.02553495995871573 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.5), 'alpha': np.float64(0.55), 'lambda': np.float64(0.007)}
accuracy: 93.98148148148148 error: 0.02425828558637215 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.5), 'alpha': np.float64(0.55), 'lambda': np.float64(0.008)}
accuracy: 93.51851851851852 error: 0.025802122094483095 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.5), 'alpha': np.float64(0.6000000000000001), 'lambda': np.float64(0.001)}
accuracy: 92.82407407407408 error: 0.0259197521526959 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.5), 'alpha': np.float64(0.6000000000000001), 'lambda': np.float64(0.002)}
accuracy: 92.82407407407408 error: 0.02473216292589687 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.5), 'alpha': np.float64(0.6000000000000001), 'lambda': np.float64(0.003)}
accuracy: 97.68518518518519 error: 0.017672904097975648 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.5), 'alpha': np.float64(0.6000000000000001), 'lambda': np.float64(0.004)}
accuracy: 93.28703703703704 error: 0.02585883687600932 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.5), 'alpha': np.float64(0.6000000000000001), 'lambda': np.float64(0.005)}
accuracy: 92.5925925925926 error: 0.0251269173615534 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.5), 'alpha': np.float64(0.6000000000000001), 'lambda': np.float64(0.006)}
accuracy: 93.75 error: 0.022598464323266704 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.5), 'alpha': np.float64(0.6000000000000001), 'lambda': np.float64(0.007)}
accuracy: 93.05555555555556 error: 0.025896488672910493 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.5), 'alpha': np.float64(0.6000000000000001), 'lambda': np.float64(0.008)}
accuracy: 93.28703703703704 error: 0.02466407069918986 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.5), 'alpha': np.float64(0.6500000000000001), 'lambda': np.float64(0.001)}
accuracy: 92.82407407407408 error: 0.028490504698695324 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.5), 'alpha': np.float64(0.6500000000000001), 'lambda': np.float64(0.002)}
accuracy: 93.05555555555556 error: 0.02572466169823887 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.5), 'alpha': np.float64(0.6500000000000001), 'lambda': np.float64(0.003)}
accuracy: 93.51851851851852 error: 0.023280238683581953 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.5), 'alpha': np.float64(0.6500000000000001), 'lambda': np.float64(0.004)}
